epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3871,0.88021,2.91906,1.23426,0.74689,0.76003,0.81404,0.5867,0.85037,2.71272,1.27856,0.000465748,0.000465748,0.000465748
2,75.1381,0.87503,2.02065,1.19784,0.94043,0.67789,0.87162,0.68389,0.81095,2.20926,1.28183,0.000937418,0.000937418,0.000937418
3,112.019,0.80753,1.74425,1.13241,0.88309,0.8788,0.92035,0.69118,0.89846,1.36439,1.38787,0.00140437,0.00140437,0.00140437
4,148.213,0.84532,1.62534,1.1648,0.93859,0.89536,0.96032,0.72965,0.78729,1.22915,1.30447,0.00140778,0.00140778,0.00140778
5,186.398,0.82004,1.42437,1.13917,0.90624,0.91111,0.94263,0.7159,0.82055,1.32605,1.20028,0.00140071,0.00140071,0.00140071
6,223.298,0.75694,1.2758,1.09084,0.91885,0.9469,0.96393,0.75582,0.74443,1.09865,1.15042,0.00139363,0.00139363,0.00139363
7,256.96,0.76353,1.16422,1.09372,0.94411,0.92605,0.9668,0.72335,0.80304,0.94728,1.18132,0.00138656,0.00138656,0.00138656
8,290.404,0.75558,1.10957,1.09431,0.93551,0.94321,0.97016,0.75055,0.70246,0.78899,1.10295,0.00137949,0.00137949,0.00137949
9,324.24,0.73878,1.0486,1.08869,0.94915,0.93484,0.97242,0.7801,0.67041,0.7245,1.08965,0.00137241,0.00137241,0.00137241
10,359.657,0.74273,0.96122,1.09574,0.91994,0.96608,0.97947,0.76846,0.71094,0.77222,1.11047,0.00136534,0.00136534,0.00136534
11,396.304,0.72158,0.90229,1.08267,0.95804,0.9354,0.97808,0.7794,0.70076,0.59391,1.08506,0.00135826,0.00135826,0.00135826
12,433.369,0.69495,0.85162,1.06451,0.9535,0.93845,0.96825,0.78554,0.65587,0.60059,1.04773,0.00135119,0.00135119,0.00135119
13,471.355,0.69785,0.83142,1.06764,0.96278,0.9075,0.96911,0.78774,0.67012,0.62185,1.07467,0.00134412,0.00134412,0.00134412
14,508.878,0.69062,0.77101,1.03904,0.95157,0.95567,0.97522,0.80814,0.62468,0.49814,1.03964,0.00133704,0.00133704,0.00133704
15,546.094,0.67866,0.71428,1.05651,0.94948,0.95555,0.96788,0.77827,0.67777,0.53695,1.06155,0.00132997,0.00132997,0.00132997
16,575.232,0.69652,0.71144,1.06623,0.91918,0.94615,0.97515,0.77456,0.65958,0.52671,1.07693,0.0013229,0.0013229,0.0013229
17,595.604,0.65617,0.65374,1.03094,0.97147,0.96616,0.98516,0.80012,0.62402,0.46449,1.04576,0.00131582,0.00131582,0.00131582
18,610.616,0.63586,0.63355,1.01535,0.959,0.95949,0.97726,0.79795,0.59434,0.44243,1.01604,0.00130875,0.00130875,0.00130875
